TransactionAmount,TransactionDate,TransactionType,Channel,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,hour,day_of_week,days_since_last,TransactionType_enc,Channel_enc,anomaly,anomaly_score,reasons
14.09,2023-04-11 16:29:14,Debit,ATM,81,1,5112.21,2024-11-04 08:08:08,16,1,573,1,0,1,0.13291005320357135,[]
376.24,2023-06-27 16:44:19,Debit,ATM,141,1,13758.91,2024-11-04 08:09:35,16,1,496,1,0,1,0.0960885706002449,[]
126.29,2023-07-10 18:16:08,Debit,Online,56,1,1122.35,2024-11-04 08:07:04,18,0,483,1,2,1,0.09552191661403836,[]
184.5,2023-05-05 16:32:11,Debit,Online,25,1,8569.06,2024-11-04 08:09:06,16,4,549,1,2,1,0.07584411613133646,[]
13.45,2023-10-16 17:51:24,Credit,Online,198,1,7429.4,2024-11-04 08:06:39,17,0,385,0,2,1,0.06887990502051433,[]
92.15,2023-04-03 17:15:01,Debit,ATM,172,1,781.68,2024-11-04 08:06:36,17,0,581,1,0,1,0.12191744227374846,[]
7.08,2023-02-15 16:36:48,Credit,ATM,139,1,13316.71,2024-11-04 08:10:09,16,2,628,0,0,1,0.02545618383050441,[]
171.42,2023-05-08 17:47:59,Credit,Branch,291,1,2796.24,2024-11-04 08:10:55,17,0,546,0,1,1,0.05836827362772978,[]
106.23,2023-03-21 16:59:46,Credit,Branch,86,1,9095.14,2024-11-04 08:11:14,16,1,594,0,1,1,0.07089773459243265,[]
815.96,2023-03-31 16:06:57,Debit,ATM,120,1,1021.88,2024-11-04 08:06:32,16,4,584,1,0,1,0.06164769739342313,[]
17.78,2023-03-14 16:46:10,Credit,Online,59,1,7599.52,2024-11-04 08:06:45,16,1,601,0,2,1,0.06719474782495216,[]
190.02,2023-02-06 17:30:00,Debit,Online,173,1,1528.81,2024-11-04 08:07:12,17,0,637,1,2,1,0.10973980434371411,[]
494.52,2023-06-07 17:21:28,Credit,Branch,111,1,1620.02,2024-11-04 08:08:38,17,2,516,0,1,1,0.08928415875103224,[]
781.76,2023-11-20 16:39:15,Debit,ATM,123,1,189.69,2024-11-04 08:07:06,16,0,350,1,0,1,0.0791022938682523,[]
166.99,2023-02-13 16:53:57,Debit,Online,134,1,299.93,2024-11-04 08:10:09,16,0,630,1,2,1,0.10474473712887317,[]
465.45,2023-12-12 16:23:31,Debit,ATM,129,1,3465.54,2024-11-04 08:12:19,16,1,328,1,0,1,0.11337336862792374,[]
555.8,2023-10-30 16:52:49,Credit,Branch,158,1,1131.26,2024-11-04 08:07:35,16,0,371,0,1,1,0.07513324199570226,[]
492.93,2023-12-14 18:32:14,Debit,Online,234,1,5109.97,2024-11-04 08:11:51,18,3,326,1,2,1,0.020266237404216514,[]
18.68,2023-02-21 16:56:50,Credit,Branch,106,1,7948.37,2024-11-04 08:12:01,16,1,622,0,1,1,0.0733530830416238,[]
71.48,2023-06-08 18:18:50,Credit,Online,169,1,6568.59,2024-11-04 08:09:20,18,3,515,0,2,1,0.026125241376018016,[]
59.32,2023-02-28 16:36:58,Debit,Branch,38,1,5750.89,2024-11-04 08:09:24,16,1,615,1,1,1,0.13219214173260146,[]
85.77,2023-08-11 18:31:31,Debit,Branch,93,1,9146.19,2024-11-04 08:08:13,18,4,451,1,1,1,0.07170111720993799,[]
52.2,2023-06-06 18:54:15,Debit,Online,120,1,8974.93,2024-11-04 08:07:01,18,1,517,1,2,1,0.07758946148412527,[]
345.84,2023-05-02 18:25:46,Debit,Online,142,3,1402.5,2024-11-04 08:07:04,18,1,552,1,2,1,0.015066354929301307,[]
145.54,2023-03-02 16:43:56,Debit,Online,96,1,1930.96,2024-11-04 08:07:09,16,3,613,1,2,1,0.11201868261892589,[]
7.49,2023-10-20 17:53:13,Credit,Online,276,1,3634.67,2024-11-04 08:09:44,17,4,381,0,2,1,0.015038555997816228,[]
246.93,2023-04-17 16:37:01,Debit,ATM,158,5,673.35,2024-11-04 08:11:38,16,0,567,1,0,-1,-0.01608557229838492,['High login attempts (5)']
40.32,2023-03-29 16:42:38,Debit,Branch,95,1,2686.52,2024-11-04 08:11:59,16,2,586,1,1,1,0.14788997147578226,[]
127.45,2023-01-24 16:18:32,Debit,Online,197,1,1772.06,2024-11-04 08:11:22,16,1,650,1,2,1,0.09831128067258144,[]
56.17,2023-09-20 16:55:42,Debit,Branch,283,1,1351.69,2024-11-04 08:08:30,16,2,411,1,1,1,0.09367631146648792,[]
28.31,2023-07-17 17:49:22,Credit,Online,20,1,8334.47,2024-11-04 08:09:17,17,0,476,0,2,1,0.05166698694972305,[]
59.12,2023-02-06 16:24:24,Debit,ATM,257,1,9823.64,2024-11-04 08:06:58,16,0,637,1,0,1,0.0677078996312751,[]
396.45,2023-09-25 16:26:00,Debit,ATM,168,3,9690.15,2024-11-04 08:11:13,16,0,406,1,0,1,0.049910545775190274,[]
877.81,2023-03-13 17:23:24,Debit,Online,150,1,399.0,2024-11-04 08:07:50,17,0,602,1,2,1,0.06315541455872575,[]
255.26,2023-10-27 16:42:49,Credit,Branch,50,1,14815.87,2024-11-04 08:10:51,16,4,374,0,1,1,0.010165298149758195,[]
124.76,2023-10-16 16:32:56,Debit,Branch,45,1,5764.72,2024-11-04 08:06:23,16,0,385,1,1,1,0.15720169288521146,[]
78.13,2023-11-21 16:58:44,Debit,Branch,145,1,900.61,2024-11-04 08:12:18,16,1,349,1,1,1,0.13386742961148773,[]
649.28,2023-03-02 17:53:32,Debit,ATM,137,1,4875.86,2024-11-04 08:11:15,17,3,613,1,0,1,0.09660191316086586,[]
795.31,2023-10-12 17:07:40,Debit,ATM,90,2,7914.88,2024-11-04 08:11:17,17,3,389,1,0,1,0.032010326978517356,[]
335.63,2023-01-24 17:17:20,Debit,Online,216,1,1019.39,2024-11-04 08:07:32,17,1,650,1,2,1,0.07964620478782125,[]
328.47,2023-07-31 18:39:50,Debit,ATM,119,1,4323.66,2024-11-04 08:07:31,18,0,462,1,0,1,0.11589188662938482,[]
34.02,2023-01-09 16:13:21,Debit,Online,19,1,14214.48,2024-11-04 08:11:45,16,0,665,1,2,1,0.023110318521866624,[]
241.42,2023-04-20 18:57:43,Credit,Online,116,1,13357.02,2024-11-04 08:09:03,18,3,564,0,2,-1,-0.004773255912423502,['Statistical outlier across multiple factors']
55.32,2023-04-12 16:03:37,Debit,ATM,117,1,241.79,2024-11-04 08:08:03,16,2,572,1,0,1,0.12707307438528792,[]
304.31,2023-07-26 16:52:28,Debit,Branch,33,1,868.61,2024-11-04 08:09:53,16,2,467,1,1,1,0.13496875136402703,[]
435.27,2023-10-04 17:49:29,Debit,Branch,90,1,4673.28,2024-11-04 08:11:12,17,2,397,1,1,1,0.14569029356177732,[]
164.49,2023-12-13 16:01:38,Debit,Branch,75,1,1509.27,2024-11-04 08:10:33,16,2,327,1,1,1,0.12840090246598784,[]
510.24,2023-10-09 16:29:40,Debit,Online,105,1,781.7,2024-11-04 08:11:35,16,0,392,1,2,1,0.12291095061209761,[]
626.9,2023-11-27 16:45:57,Debit,Online,138,1,265.51,2024-11-04 08:07:24,16,0,343,1,2,1,0.08311884195463165,[]
22.01,2023-03-27 16:45:18,Credit,Online,175,1,1335.09,2024-11-04 08:06:31,16,0,588,0,2,1,0.07538674573973858,[]
425.34,2023-02-13 16:59:39,Credit,Online,121,1,3907.54,2024-11-04 08:07:07,16,0,630,0,2,1,0.07801786774303032,[]
424.56,2023-02-21 17:45:55,Debit,Online,264,1,5183.85,2024-11-04 08:09:02,17,1,622,1,2,1,0.06834001582180038,[]
85.43,2023-06-07 16:45:34,Debit,Branch,145,1,14904.9,2024-11-04 08:06:45,16,2,516,1,1,1,0.08054796261625669,[]
169.5,2023-09-07 16:51:27,Debit,Branch,142,1,918.88,2024-11-04 08:08:58,16,3,424,1,1,1,0.13188879648918816,[]
104.63,2023-03-29 17:47:16,Debit,ATM,90,1,4477.78,2024-11-04 08:10:42,17,2,586,1,0,1,0.13843066984411434,[]
316.95,2023-08-04 17:53:40,Debit,Branch,83,1,1324.03,2024-11-04 08:09:15,17,4,458,1,1,1,0.12084336745063329,[]
60.54,2023-12-14 17:52:37,Credit,Branch,52,1,3534.93,2024-11-04 08:09:57,17,3,326,0,1,1,0.056099682220689395,[]
292.56,2023-03-03 17:37:41,Credit,Branch,61,1,4638.37,2024-11-04 08:07:49,17,4,612,0,1,1,0.059358772246708935,[]
386.52,2023-06-09 16:18:15,Debit,Branch,28,1,5630.61,2024-11-04 08:07:09,16,4,514,1,1,1,0.09926733452487962,[]
112.07,2023-10-02 16:35:22,Debit,Branch,51,1,930.3,2024-11-04 08:11:37,16,0,399,1,1,1,0.1543129683510459,[]
568.52,2023-10-06 18:44:37,Debit,ATM,152,1,5499.91,2024-11-04 08:06:25,18,4,395,1,0,1,0.05604747043980873,[]
263.99,2023-05-16 16:07:30,Debit,Branch,227,2,4175.02,2024-11-04 08:11:03,16,1,538,1,1,1,0.07673458525750398,[]
349.64,2023-11-07 16:48:23,Debit,Online,226,1,6651.62,2024-11-04 08:08:09,16,1,363,1,2,1,0.10129351644642376,[]
601.4,2023-05-30 17:43:25,Credit,Branch,104,1,8458.29,2024-11-04 08:08:01,17,1,524,0,1,1,0.07574006779560905,[]
5.77,2023-11-02 16:01:40,Debit,Online,124,1,13988.12,2024-11-04 08:11:32,16,3,368,1,2,1,0.05206843028151942,[]
201.33,2023-03-29 17:00:31,Credit,Branch,186,1,2585.07,2024-11-04 08:11:41,17,2,586,0,1,1,0.08137096304473657,[]
298.42,2023-04-25 16:11:24,Debit,Branch,225,1,3014.75,2024-11-04 08:10:12,16,1,559,1,1,1,0.1282620345512795,[]
521.06,2023-04-18 18:40:47,Debit,Branch,128,1,1951.42,2024-11-04 08:12:10,18,1,566,1,1,1,0.09980689113758334,[]
117.28,2023-02-09 16:34:53,Credit,Online,16,1,3665.77,2024-11-04 08:07:11,16,3,634,0,2,1,0.020045894687617527,[]
189.12,2023-11-13 16:42:28,Credit,Branch,103,1,977.01,2024-11-04 08:08:42,16,0,357,0,1,1,0.09561287276290142,[]
133.55,2023-07-18 16:12:00,Debit,ATM,220,1,3846.28,2024-11-04 08:10:18,16,1,475,1,0,1,0.127850723404895,[]
143.21,2023-01-13 17:00:16,Debit,Online,135,1,6374.82,2024-11-04 08:09:26,17,4,661,1,2,1,0.08218994243543581,[]
24.77,2023-07-04 18:20:33,Debit,ATM,55,1,5866.01,2024-11-04 08:12:15,18,1,489,1,0,1,0.09409301893064309,[]
233.92,2023-10-20 16:54:28,Credit,Online,280,1,6537.62,2024-11-04 08:08:45,16,4,381,0,2,1,0.017000555361485148,[]
1212.51,2023-10-04 16:36:29,Debit,Branch,24,1,605.95,2024-11-04 08:06:51,16,2,397,1,1,1,0.02967595507271903,[]
232.12,2023-12-28 17:31:03,Debit,ATM,51,1,6689.87,2024-11-04 08:09:17,17,3,312,1,0,1,0.10071451162631573,[]
162.63,2023-06-12 17:53:52,Debit,Online,113,1,634.17,2024-11-04 08:08:22,17,0,511,1,2,1,0.13153398062694127,[]
91.53,2023-03-13 16:32:12,Debit,Branch,69,1,14676.05,2024-11-04 08:11:36,16,0,602,1,1,1,0.07603280840730864,[]
120.29,2023-12-18 18:46:27,Debit,Branch,77,1,1362.39,2024-11-04 08:06:50,18,0,322,1,1,1,0.09295680545236779,[]
174.25,2023-07-17 18:54:31,Debit,Online,67,1,10528.34,2024-11-04 08:10:29,18,0,476,1,2,1,0.08334860258312882,[]
183.71,2023-06-19 18:22:10,Debit,ATM,102,1,552.52,2024-11-04 08:09:51,18,0,504,1,0,1,0.11575321073062272,[]
345.39,2023-10-23 17:13:57,Credit,Online,80,1,6451.96,2024-11-04 08:08:16,17,0,378,0,2,1,0.08473485559853244,[]
922.55,2023-01-23 16:32:48,Debit,ATM,87,1,4715.84,2024-11-04 08:11:07,16,0,651,1,0,1,0.05407820332122237,[]
259.91,2023-11-06 16:34:10,Debit,Online,170,1,7176.86,2024-11-04 08:09:38,16,0,364,1,2,1,0.12239067301419887,[]
154.71,2023-07-03 16:40:24,Debit,Online,157,1,1523.72,2024-11-04 08:09:42,16,0,490,1,2,1,0.14078097682134733,[]
1340.19,2023-09-29 17:22:10,Credit,Online,30,1,8654.28,2024-11-04 08:06:53,17,4,402,0,2,-1,-0.02632770075446933,['Unusually large amount ($1340.19)']
24.56,2023-10-20 17:27:35,Debit,Branch,69,1,9869.93,2024-11-04 08:12:05,17,4,381,1,1,1,0.0898515578787738,[]
568.07,2023-08-28 17:03:53,Debit,ATM,115,1,10556.81,2024-11-04 08:07:32,17,0,434,1,0,1,0.09887741225216656,[]
9.61,2023-06-22 18:37:29,Credit,Online,179,1,12883.91,2024-11-04 08:09:10,18,3,501,0,2,-1,-0.00010807722569528,['Statistical outlier across multiple factors']
392.96,2023-11-20 16:28:09,Debit,Online,100,1,791.65,2024-11-04 08:08:38,16,0,350,1,2,1,0.11257779858100647,[]
716.93,2023-09-14 16:49:33,Credit,Online,34,1,4064.02,2024-11-04 08:08:12,16,3,417,0,2,1,0.03390080632749537,[]
223.85,2023-10-02 16:36:10,Debit,ATM,55,4,2929.91,2024-11-04 08:08:01,16,0,399,1,0,1,0.037183798474598406,[]
230.66,2023-03-27 18:16:04,Debit,Branch,135,1,618.05,2024-11-04 08:10:44,18,0,588,1,1,1,0.10826259257052262,[]
442.12,2023-12-21 16:37:03,Debit,Online,260,1,1375.8,2024-11-04 08:08:21,16,3,319,1,2,1,0.05213189014154629,[]
644.17,2023-03-02 16:05:09,Debit,ATM,72,1,1143.52,2024-11-04 08:08:04,16,3,613,1,0,1,0.08758299903451172,[]
